Standard,TMP_Mean,TMP_Variance,TMP_Error,TMP_Accuracy,TMP_DNL,TMP_INL,NTC_Mean,NTC_Variance,NTC_Error,NTC_Accuracy,NTC_DNL,NTC_INL
44.5,43.91,0.001,-0.59,98.674,0.1,0.1,44.53,0.002,0.03,99.933,0.1,0.1
44.6,44.05,0.005,-0.55,98.767,0.189,0.189,44.65,0.003,0.05,99.888,0.111,0.078
44.7,44.122,0.002,-0.578,98.707,0.1,0.1,44.767,0.002,0.067,99.851,0.112,0.087
44.8,44.2,0.0,-0.6,98.661,0.0,0.0,44.85,0.003,0.05,99.888,0.114,0.071
44.9,44.322,0.004,-0.578,98.713,0.113,0.162,44.933,0.003,0.033,99.926,0.113,0.075
45.0,44.4,0.0,-0.6,98.667,0.0,0.0,45.022,0.002,0.022,99.951,0.113,0.088
45.1,44.54,0.005,-0.56,98.758,0.1,0.2,45.15,0.003,0.05,99.889,0.1,0.1
45.2,44.633,0.003,-0.567,98.746,0.113,0.088,45.211,0.001,0.011,99.975,0.1,0.1
45.3,44.7,0.0,-0.6,98.675,0.0,0.0,45.3,0.003,0.0,99.945,0.2,0.1
45.4,44.8,0.005,-0.6,98.678,0.212,0.187,45.378,0.004,-0.022,99.902,0.2,0.1
45.5,44.911,0.001,-0.589,98.706,0.1,0.1,45.489,0.001,-0.011,99.976,0.1,0.1
45.6,45.022,0.002,-0.578,98.733,0.113,0.088,45.589,0.001,-0.011,99.976,0.1,0.1
45.7,45.12,0.002,-0.58,98.731,0.111,0.089,45.69,0.001,-0.01,99.978,0.1,0.1
45.8,45.2,0.0,-0.6,98.69,0.0,0.0,45.789,0.001,-0.011,99.976,0.1,0.1
45.9,45.333,0.003,-0.567,98.765,0.113,0.088,45.878,0.002,-0.022,99.952,0.113,0.088
46.0,45.4,0.0,-0.6,98.696,0.0,0.0,45.933,0.003,-0.067,99.855,0.1,0.1
46.1,45.53,0.002,-0.57,98.764,0.1,0.1,46.04,0.003,-0.06,99.87,0.111,0.089
46.2,45.613,0.001,-0.588,98.728,0.1,0.1,46.162,0.003,-0.038,99.919,0.1,0.1
46.3,45.678,0.002,-0.622,98.656,0.1,0.1,46.233,0.002,-0.067,99.856,0.112,0.087
46.4,45.789,0.006,-0.611,98.683,0.187,0.175,46.311,0.004,-0.089,99.808,0.187,0.175
46.5,45.9,0.0,-0.6,98.71,0.0,0.0,46.44,0.003,-0.06,99.871,0.1,0.1
46.6,46.05,0.003,-0.55,98.82,0.1,0.1,46.53,0.002,-0.07,99.85,0.111,0.078
46.7,46.144,0.003,-0.556,98.81,0.1,0.1,46.633,0.003,-0.067,99.857,0.1,0.1
46.8,46.211,0.001,-0.589,98.742,0.087,0.087,46.7,0.0,-0.1,99.786,0.0,0.0
46.9,46.34,0.005,-0.56,98.806,0.122,0.156,46.8,0.002,-0.1,99.787,0.078,0.078
47.0,46.417,0.002,-0.583,98.759,0.1,0.1,46.9,0.004,-0.1,99.787,0.12,0.16
47.1,46.511,0.004,-0.589,98.75,0.2,0.1,46.944,0.003,-0.156,99.67,0.1,0.1
47.2,46.61,0.001,-0.59,98.75,0.1,0.1,47.06,0.003,-0.14,99.703,0.1,0.1
47.3,46.71,0.001,-0.59,98.753,0.1,0.1,47.18,0.002,-0.12,99.746,0.1,0.1
47.4,46.833,0.005,-0.567,98.805,0.212,0.137,47.267,0.002,-0.133,99.719,0.112,0.087
47.5,46.922,0.002,-0.578,98.784,0.088,0.075,47.356,0.003,-0.144,99.696,0.113,0.088
47.6,47.06,0.003,-0.54,98.866,0.111,0.089,47.45,0.003,-0.15,99.685,0.111,0.089
47.7,47.125,0.002,-0.575,98.795,0.114,0.086,47.512,0.001,-0.188,99.607,0.086,0.086
47.8,47.2,0.0,-0.6,98.745,0.0,0.0,47.6,0.003,-0.2,99.582,0.1,0.1
47.9,47.311,0.006,-0.589,98.771,0.212,0.175,47.689,0.004,-0.211,99.559,0.1,0.1
48.0,47.42,0.002,-0.58,98.792,0.1,0.1,47.79,0.003,-0.21,99.562,0.1,0.1
48.1,47.525,0.005,-0.575,98.805,0.114,0.171,47.887,0.004,-0.213,99.558,0.2,0.1
48.2,47.611,0.001,-0.589,98.778,0.088,0.088,47.956,0.003,-0.244,99.493,0.1,0.1
48.3,47.71,0.001,-0.59,98.778,0.089,0.089,48.07,0.002,-0.23,99.524,0.1,0.1
48.4,47.84,0.003,-0.56,98.843,0.1,0.1,48.16,0.003,-0.24,99.504,0.1,0.1
48.5,47.925,0.002,-0.575,98.814,0.1,0.1,48.238,0.003,-0.262,99.459,0.114,0.086
48.6,48.056,0.005,-0.544,98.88,0.213,0.175,48.333,0.003,-0.267,99.451,0.1,0.1
48.7,48.13,0.002,-0.57,98.83,0.1,0.1,48.42,0.004,-0.28,99.425,0.1,0.1
48.8,48.186,0.001,-0.614,98.741,0.1,0.1,48.5,0.003,-0.3,99.385,0.1,0.1
48.9,48.322,0.004,-0.578,98.818,0.1,0.2,48.589,0.001,-0.311,99.364,0.1,0.1
49.0,48.43,0.002,-0.57,98.837,0.1,0.1,48.68,0.002,-0.32,99.347,0.1,0.1
49.1,48.54,0.003,-0.56,98.859,0.1,0.1,48.79,0.001,-0.31,99.369,0.1,0.1
49.2,48.633,0.003,-0.567,98.848,0.113,0.088,48.889,0.001,-0.311,99.368,0.1,0.1
49.3,48.725,0.002,-0.575,98.834,0.114,0.086,48.975,0.002,-0.325,99.341,0.114,0.086
